VirtualXanderCore initialized successfully
MentalBook Web Server started on port 8080
Open http://localhost:8080 in your browser
Press Ctrl+C to stop
Request: GET /api/code HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: GET / HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: GET /api/code HTTP/1.1
Request: GET /api/code HTTP/1.1
Request: GET /api/code HTTP/1.1
Request: GET /api/code HTTP/1.1
Request: GET /api/code HTTP/1.1
Request: GET /api/code HTTP/1.1
Request: GET /api/code HTTP/1.1
Request: GET /api/code HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: POST /api/chat HTTP/1.1
Request: GET / HTTP/1.1
Request: GET /favicon.svg HTTP/1.1
Request: POST /api/chat HTTP/1.1
